Date,FB,GOOGL,T,VZ,DIS,CMCSA,NFLX,AMZN,HD,MCD,PG,KO,PEP,WMT,COST,PM,XOM,CVX,BRK-B,JPM,BAC,WFC,C,JNJ,UNH,MRK,PFE,MDT,ABT,AMGN,TMO,ABBV,LLY,BA,HON,UNP,UTX,MSFT,AAPL,V,MA,INTC,CSCO,ADBE,CRM,ORCL,IBM,ACN,AVGO
2014-01-02,54.70999908447266,557.1171264648438,25.2542781829834,37.37860870361328,70.61305236816406,23.1729621887207,51.83142852783203,397.9700012207031,72.16717529296875,80.95590209960938,66.68742370605469,33.79035568237305,69.37594604492188,68.23526763916016,102.6834182739258,64.79781341552734,79.95926666259766,97.69147491455078,117.5,49.72914505004883,14.77536296844482,37.53341674804688,48.38066864013672,77.74665069580078,68.0792465209961,41.53989028930664,24.57470321655273,50.81082534790039,33.71963500976562,99.50952911376953,107.2421188354492,40.65477752685547,43.02084732055664,116.6022338867188,75.79053497314453,73.23345947265625,97.86004638671875,32.58205032348633,71.1072006225586,51.39693450927734,80.1954574584961,21.74240112304688,18.35781860351562,59.29000091552734,54.86000061035156,34.57642364501953,145.9596862792969,71.37464904785156,46.61882019042969
2014-01-03,54.56000137329102,553.0530395507812,25.14588356018066,36.9361686706543,70.46492767333984,23.00181198120117,51.87142944335938,396.4400024414062,72.05278015136719,81.06504821777344,66.61290740966797,33.62414932250977,69.49422454833984,68.01045227050781,102.2301788330078,64.42871856689453,79.76688385009766,97.85675811767578,117.5699996948242,50.11358261108398,15.05985450744629,37.80019760131836,49.42658615112305,78.44698333740234,68.5631103515625,41.74133682250977,24.62311172485352,51.78726959228516,34.08126068115234,98.36662292480469,107.6529922485352,40.90505599975586,43.33461761474609,117.412712097168,75.95835876464844,73.1195068359375,98.21675109863281,32.36283493041992,69.5452880859375,51.43181228637695,79.87531280517578,21.73396682739258,18.34112548828125,59.15999984741211,55.11999893188477,34.4847526550293,146.8329772949219,71.61217498779297,46.79591751098633
2014-01-06,57.20000076293945,559.21923828125,25.26149940490723,37.14212799072266,70.19644165039062,22.97929382324219,51.36714172363281,393.6300048828125,71.35769653320312,80.48564147949219,66.77021026611328,33.46625137329102,69.52800750732422,67.62996673583984,101.4544677734375,63.97674560546875,79.8871078491211,97.59703063964844,116.2799987792969,50.4040412902832,15.2892894744873,37.86690521240234,49.80608367919922,78.8569564819336,67.77796173095703,41.74972534179688,24.64731597900391,52.56842803955078,34.53109741210938,97.51589965820312,107.6627883911133,39.41120147705078,43.69926834106445,118.0867233276367,75.88285064697266,72.3788833618164,98.12104797363281,31.6789379119873,69.92451477050781,51.12252426147461,79.47920227050781,21.46418762207031,18.36616706848145,58.11999893188477,54.22999954223633,34.34726333618164,146.3295288085938,70.8555908203125,46.47714996337891
2014-01-07,57.91999816894531,570.0,25.2542781829834,37.60745620727539,70.6778564453125,23.79451942443848,48.5,398.0299987792969,71.70964050292969,80.93070220947266,67.41606140136719,33.56597518920898,70.54206085205078,67.83750915527344,100.9837951660156,63.78838348388672,81.01734924316406,98.42334747314453,116.1900024414062,49.82311248779297,15.14245128631592,37.85023880004883,50.1485481262207,80.53093719482422,69.85038757324219,42.0602912902832,24.80060958862305,53.11878967285156,34.2664909362793,100.0508880615234,109.8637771606445,39.48941802978516,43.41093444824219,119.8784027099609,76.1933364868164,73.01873016357422,98.74742126464844,31.92444610595703,69.4244384765625,51.51321411132812,80.5863037109375,21.57379150390625,18.61649322509766,58.97000122070312,54.95000076293945,34.69557952880859,149.2482147216797,71.7177505493164,46.91987609863281
2014-01-08,58.22999954223633,571.1861572265625,25.07121849060059,37.39925003051758,69.64093780517578,23.75848197937012,48.71285629272461,401.9200134277344,72.08798217773438,80.11618041992188,66.43899536132812,33.19200897216797,70.33924102783203,67.30137634277344,99.40619659423828,62.72625732421875,80.75281524658203,97.0225830078125,115.3399963378906,50.29297637939453,15.21586608886719,38.28375244140625,50.7316780090332,80.419921875,69.03785705566406,41.79169082641602,24.97003746032715,54.00647354125977,34.57519912719727,99.57829284667969,111.5560913085938,39.38773727416992,43.34309387207031,120.1428680419922,75.89122772216797,73.15457916259766,98.86920928955078,31.35452270507812,69.86410522460938,51.67832183837891,80.5622329711914,21.43889617919922,18.59980583190918,58.90000152587891,56.93999862670898,34.5764274597168,147.8793640136719,72.27200317382812,47.619384765625
2014-01-09,57.22000122070312,565.6856689453125,24.55866622924805,36.62813186645508,69.34465789794922,23.8170280456543,48.15000152587891,401.010009765625,71.77123260498047,80.15817260742188,66.58804321289062,33.01748275756836,70.00968170166016,67.52619934082031,103.2935256958008,62.75641632080078,79.96725463867188,97.0225830078125,115.3199996948242,50.19900131225586,15.44530010223389,38.48384857177734,51.09265518188477,80.90675354003906,69.45780181884766,41.56506729125977,24.95389938354492,52.69269561767578,34.63693618774414,102.1648101806641,111.516975402832,40.06036758422852,43.82647323608398,121.2605285644531,75.91639709472656,74.1800537109375,98.92142486572266,31.15285873413086,68.97193908691406,51.60623168945312,81.21299743652344,21.33773422241211,18.43292236328125,59.09000015258789,56.29000091552734,34.51226043701172,147.4151763916016,72.97579956054688,47.13238525390625
2014-01-10,57.93999862670898,565.6556396484375,24.61724472045898,36.82091903686523,69.79833221435547,24.11429786682129,47.44857025146484,397.6600036621094,72.15837860107422,80.44366455078125,66.48869323730469,33.34990692138672,70.5589599609375,67.48297119140625,102.7182846069336,62.19896697998047,80.57646942138672,95.22834014892578,114.9700012207031,49.96834945678711,15.39023971557617,38.30043029785156,50.64836883544922,80.91527557373047,68.19793701171875,41.86722183227539,24.76026725769043,53.21643447875977,34.90154266357422,101.3914413452148,111.9669494628906,39.81008529663086,44.03847885131836,121.0642776489258,75.6562728881836,74.6664810180664,99.02580261230469,31.60001373291016,68.5116958618164,51.42484664916992,80.36199188232422,21.5232048034668,18.5413990020752,59.52999877929688,56.95000076293945,34.93391799926758,147.3207550048828,73.19573211669922,47.19436264038086
2014-01-13,55.90999984741211,562.0520629882812,24.3829288482666,36.26570892333984,67.83555603027344,23.49274635314941,48.11571502685547,390.9800109863281,71.2433090209961,79.62916564941406,66.24857330322266,32.85128021240234,69.60408782958984,67.00736236572266,100.0337371826172,62.10858154296875,78.9973373413086,93.84331512451172,114.0100021362305,49.29344177246094,15.07821178436279,37.98362731933594,49.7227783203125,80.71031188964844,67.50408172607422,44.58675384521484,24.63924598693848,52.59504318237305,34.68866348266602,100.0251159667969,110.5289764404297,39.28191375732422,44.15720367431641,120.0404739379883,74.57379913330078,73.64539337158203,98.1297378540039,30.67061233520508,68.87035369873047,50.9062385559082,77.97835540771484,21.49791526794434,18.51636123657227,58.59999847412109,56.20999908447266,34.60392379760742,144.8819427490234,71.31306457519531,46.60996627807617
2014-01-14,57.7400016784668,575.2752685546875,24.51472854614258,36.30426788330078,68.92803955078125,23.78550910949707,48.27999877929688,397.5400085449219,71.27850341796875,79.9566421508789,66.9606704711914,32.9842529296875,69.60408782958984,67.41378021240234,101.306282043457,62.10858154296875,79.45423889160156,94.09513854980469,114.9599990844727,49.32761383056641,15.39023971557617,38.00863647460938,49.93567276000977,80.89820098876953,67.5771255493164,44.48603439331055,25.01036643981934,52.73708724975586,35.09667205810547,101.1594085693359,112.2604141235352,39.888916015625,44.47097015380859,119.451774597168,75.01014709472656,73.98284149169922,97.98186492919922,31.37206077575684,70.24077606201172,51.7783317565918,79.10568237304688,22.34940147399902,18.6999397277832,60.36999893188477,57.5099983215332,35.02558135986328,146.2665710449219,72.09605407714844,48.93870544433594
2014-01-15,57.59999847412109,574.8848876953125,24.74172210693359,37.22190093994141,68.7706527709961,24.35300827026367,47.1971435546875,395.8699951171875,71.33128356933594,80.15817260742188,66.89440155029297,33.04241561889648,70.04347229003906,67.15435028076172,101.3149871826172,62.5831413269043,79.18170928955078,93.78823852539062,115.8499984741211,50.82265472412109,15.73897171020508,38.68394470214844,50.89828491210938,80.96650695800781,68.32574462890625,44.0831413269043,25.15559387207031,52.66606521606445,35.06119918823242,101.838264465332,113.0038528442383,39.50263977050781,45.29357528686523,119.9722366333008,75.44650268554688,74.56568908691406,99.2345962524414,32.23132705688477,71.65101623535156,52.03646850585938,79.2654800415039,22.48428916931152,19.00868797302246,61.68000030517578,59.72000122070312,35.20891952514648,147.6984100341797,74.09308624267578,50.44396591186523
